Season,Game_ID,Game_Date,Team,Location,Wins_Entering_Gm,Losses_Entering_Gm,Team_Minutes,Final_Score,Lead_Changes,Ties,Largest_Lead,Full_Timeouts,Short_Timeouts,Qtr_4_Score,L2M_Score,Social Following (Combined Facebook and Twitter,Combined Social Following,Even Combined Social Followings (Missing first)
2016-17,21600001,10/25/2016,CLE,H,0,0,240,117,1,3,32,4,1,82,113,8.6,16.21,4.68
2016-17,21600001,10/25/2016,NYK,A,0,0,240,88,0,1,4,4,2,64,84,7.61,10.63,20.06
2016-17,21600002,10/25/2016,POR,H,0,0,240,113,6,6,13,5,0,77,104,3.02,4.68,23.91
2016-17,21600002,10/25/2016,UTA,A,0,0,240,104,5,1,8,5,2,83,102,1.66,13.2,9.59
2016-17,21600003,10/25/2016,GSW,H,0,0,240,100,1,2,4,3,1,77,100,11.54,20.06,14.2
2016-17,21600003,10/25/2016,SAS,A,0,0,240,129,1,1,29,5,1,97,122,8.52,28.28,5.33
2016-17,21600004,10/26/2016,MIA,A,0,0,240,108,7,6,19,4,1,80,104,19.76,23.91,4.23
2016-17,21600004,10/26/2016,ORL,H,0,0,240,96,7,7,7,4,2,69,92,4.15,9.65,4.76
2016-17,21600005,10/26/2016,DAL,A,0,0,265,121,2,7,1,7,4,85,110,5.5,9.59,4.62
2016-17,21600005,10/26/2016,IND,H,0,0,265,130,2,1,14,5,2,94,110,4.09,14.82,10.31
2016-17,21600006,10/26/2016,BOS,H,0,0,240,122,1,0,23,4,3,97,118,10.73,14.2,4.72
2016-17,21600006,10/26/2016,BKN,A,0,0,240,117,1,1,4,5,3,81,110,3.47,6.38,32
2016-17,21600007,10/26/2016,TOR,H,0,0,240,109,1,1,20,4,0,86,106,2.91,5.33,4.29
2016-17,21600007,10/26/2016,DET,A,0,0,240,91,0,1,7,4,2,71,89,2.42,4.34,32.35
2016-17,21600008,10/26/2016,MIL,H,0,0,240,96,0,2,0,4,1,66,89,1.92,4.23,10.78
2016-17,21600008,10/26/2016,CHA,A,0,0,240,107,0,0,24,4,1,83,101,2.31,4.65,7.84
2016-17,21600009,10/26/2016,MIN,A,0,0,240,98,5,0,17,5,2,75,90,2.34,4.76,11.51
2016-17,21600009,10/26/2016,MEM,H,0,0,240,102,6,5,6,5,1,76,89,2.42,4.56,7.56
2016-17,21600010,10/26/2016,NOP,H,0,0,,,,,,,,,,2.14,4.62,6.57
2016-17,21600010,10/26/2016,DEN,A,0,0,,,,,,,,,,2.48,4.71,10.54
2016-17,21600011,10/26/2016,PHI,H,0,0,240,97,6,2,11,5,2,75,95,2.23,10.31,22.07
2016-17,21600011,10/26/2016,OKC,A,0,0,240,103,7,5,6,6,2,69,94,8.08,10.54,10.45
2016-17,21600012,10/26/2016,PHX,H,0,0,240,94,1,2,4,5,1,67,85,2.46,4.72,28.71
2016-17,21600012,10/26/2016,SAC,A,0,0,240,113,1,2,26,4,1,84,110,2.26,7.21,13.68
2016-17,21600013,10/26/2016,HOU,A,0,0,240,114,4,4,10,5,1,96,112,4.95,32,4.47
2016-17,21600013,10/26/2016,LAL,H,0,0,240,120,5,9,6,4,2,90,113,27.05,29.29,13.04
2016-17,21600014,10/27/2016,ATL,H,0,0,240,114,10,7,19,4,1,81,107,2.24,4.29,10.03
2016-17,21600014,10/27/2016,WAS,A,0,0,240,99,9,7,6,6,2,80,93,2.05,12.78,12.75
2016-17,21600015,10/27/2016,BOS,A,1,0,240,99,1,0,1,5,1,73,95,10.73,32.35,25.71
2016-17,21600015,10/27/2016,CHI,H,0,0,240,105,1,0,15,4,2,79,99,21.62,23.88,5.39
2016-17,21600016,10/27/2016,SAC,H,1,0,240,94,1,2,11,4,0,71,89,2.26,10.78,10.66
2016-17,21600016,10/27/2016,SAS,A,1,0,240,102,2,3,11,4,0,76,96,8.52,13.34,5.5
2016-17,21600017,10/27/2016,LAC,A,0,0,240,114,5,7,15,4,2,82,107,4.82,7.84,4.6
2016-17,21600017,10/27/2016,POR,H,1,0,240,106,5,2,6,6,1,82,96,3.02,11.62,6.48
2016-17,21600018,10/28/2016,CLE,A,1,0,240,94,1,1,12,5,2,71,89,8.6,11.51,14
2016-17,21600018,10/28/2016,TOR,H,1,0,240,91,1,3,1,5,2,67,89,2.91,6.38,28.28
2016-17,21600019,10/28/2016,BKN,H,0,1,240,103,4,0,14,4,2,72,99,3.47,7.56,4.34
2016-17,21600019,10/28/2016,IND,A,1,0,240,94,4,5,10,5,1,79,89,4.09,8.24,4.47
2016-17,21600020,10/28/2016,ORL,A,0,1,240,82,1,1,1,5,1,51,74,4.15,6.57,35.13
2016-17,21600020,10/28/2016,DET,H,0,1,240,108,1,0,35,4,0,86,104,2.42,4.88,10.45
2016-17,21600021,10/28/2016,PHX,A,0,1,265,110,3,1,18,7,2,83,100,2.46,10.54,5.39
2016-17,21600021,10/28/2016,OKC,H,1,0,265,113,4,6,4,7,3,77,102,8.08,27.84,25.09
2016-17,21600022,10/28/2016,MIA,H,1,0,240,91,0,1,19,4,2,77,87,19.76,22.07,4.5
2016-17,21600022,10/28/2016,CHA,A,1,0,240,97,1,2,10,5,0,73,94,2.31,7.81,7.28
2016-17,21600023,10/28/2016,DAL,H,0,1,,,,,,,,,,5.5,10.45,6.38
2016-17,21600023,10/28/2016,HOU,A,0,1,,,,,,,,,,4.95,32,13.55
2016-17,21600024,10/28/2016,LAL,A,1,0,240,89,10,8,4,6,1,65,83,27.05,28.71,31.14
2016-17,21600024,10/28/2016,UTA,H,0,1,240,96,10,4,11,5,0,65,91,1.66,3.8,22.02
2016-17,21600025,10/28/2016,NOP,H,0,1,240,114,1,1,2,6,1,81,103,2.14,13.68,10.03
2016-17,21600025,10/28/2016,GSW,A,0,1,240,122,2,1,16,5,1,92,112,11.54,13.78,4.06
2016-17,21600026,10/29/2016,ATL,A,1,0,,,,,,,,,,2.24,4.47,4.76
2016-17,21600026,10/29/2016,PHI,H,0,1,,,,,,,,,,2.23,12.96,10.18
2016-17,21600027,10/29/2016,BOS,A,1,1,,,,,,,,,,10.73,13.04,14.56
2016-17,21600027,10/29/2016,CHA,H,2,0,,,,,,,,,,2.31,9.92,4.96
2016-17,21600028,10/29/2016,NYK,H,0,1,240,111,0,0,18,4,2,82,106,7.61,10.03,4.54
2016-17,21600028,10/29/2016,MEM,A,1,0,240,104,0,1,0,5,3,77,95,2.42,11.02,5.89
2016-17,21600029,10/29/2016,CLE,H,2,0,240,105,1,3,22,5,1,80,94,8.6,12.75,12.56
2016-17,21600029,10/29/2016,ORL,A,0,2,240,99,0,0,3,5,3,62,88,4.15,25.77,29.29
2016-17,21600030,10/29/2016,CHI,H,1,0,240,118,2,1,29,4,1,92,112,21.62,25.71,4.56
2016-17,21600030,10/29/2016,IND,A,1,1,240,101,2,6,2,4,1,67,101,4.09,6.01,32.35
2016-17,21600031,10/29/2016,MIL,H,0,1,240,110,4,1,11,4,1,80,106,1.92,5.39,7.16
2016-17,21600031,10/29/2016,BKN,A,1,1,240,108,4,8,1,4,0,73,99,3.47,5.61,5.48
2016-17,21600032,10/29/2016,NOP,A,0,2,240,79,1,2,3,4,0,60,77,2.14,10.66,12.9
2016-17,21600032,10/29/2016,SAS,H,2,0,240,98,2,2,27,4,0,83,98,8.52,11,6.41
2016-17,21600033,10/29/2016,DEN,H,1,0,265,113,2,2,12,6,5,88,104,2.48,5.5,6.01
2016-17,21600033,10/29/2016,POR,A,1,1,265,115,2,3,14,5,2,81,95,3.02,5.36,4.82
2016-17,21600034,10/29/2016,MIN,A,0,1,240,103,4,4,18,5,2,77,100,2.34,4.6,19.33
2016-17,21600034,10/29/2016,SAC,H,1,1,240,106,4,1,10,5,2,85,100,2.26,7.08,19.62
2016-17,21600035,10/30/2016,LAC,H,1,0,240,88,1,1,22,4,2,69,88,4.82,6.48,4.29
2016-17,21600035,10/30/2016,UTA,A,1,1,240,75,1,2,5,4,0,56,70,1.66,13.2,22.67
2016-17,21600036,10/30/2016,GSW,A,1,1,240,106,6,2,8,5,1,81,97,11.54,14,5.78
2016-17,21600036,10/30/2016,PHX,H,0,2,240,100,6,3,13,5,1,78,92,2.46,22.22,29.23
2016-17,21600037,10/30/2016,MIA,H,1,1,240,99,1,5,3,5,3,72,97,19.76,28.28,7.24
2016-17,21600037,10/30/2016,SAS,A,3,0,240,106,2,0,16,5,1,77,99,8.52,10.44,4.6
2016-17,21600038,10/30/2016,MIL,A,1,1,240,83,0,0,3,4,0,65,79,1.92,4.34,8.52
2016-17,21600038,10/30/2016,DET,H,1,1,240,98,1,1,16,4,0,75,95,2.42,4.84,10.18
2016-17,21600039,10/30/2016,MEM,H,1,1,265,112,8,2,15,5,1,78,93,2.42,4.47,38.59
2016-17,21600039,10/30/2016,WAS,A,0,1,265,103,8,5,8,6,2,77,96,2.05,29.1,10.42
2016-17,21600040,10/30/2016,LAL,A,1,1,240,96,3,2,8,5,1,71,91,27.05,35.13,10.83
2016-17,21600040,10/30/2016,OKC,H,2,0,240,113,3,3,19,4,1,77,106,8.08,13.58,6.2
2016-17,21600041,10/30/2016,DAL,A,0,2,240,92,1,1,3,5,3,70,87,5.5,10.45,4.9
2016-17,21600041,10/30/2016,HOU,H,1,1,240,93,2,1,17,5,0,80,91,4.95,7.43,25.71
2016-17,21600042,10/31/2016,DEN,A,1,1,240,102,4,0,6,6,1,84,101,2.48,5.39,7.19
2016-17,21600042,10/31/2016,TOR,H,1,1,240,105,4,4,19,5,1,88,101,2.91,24.53,4.18
2016-17,21600043,10/31/2016,CHI,A,2,0,240,118,0,0,33,4,0,93,114,21.62,25.09,13.34
2016-17,21600043,10/31/2016,BKN,H,1,2,240,88,0,3,0,4,1,66,84,3.47,5.71,9.27
2016-17,21600044,10/31/2016,ATL,H,2,0,240,106,2,1,13,3,1,79,102,2.24,4.5,5.44
2016-17,21600044,10/31/2016,SAC,A,2,1,240,95,2,3,6,5,1,81,93,2.26,7.08,5.17
2016-17,21600045,10/31/2016,LAC,H,2,0,240,116,6,3,22,3,0,82,113,4.82,7.28,7.42
2016-17,21600045,10/31/2016,PHX,A,0,3,240,98,5,3,3,6,0,70,94,2.46,6.61,13.21
2016-17,21600046,11/1/2016,ORL,A,0,3,240,103,2,4,2,6,2,84,97,4.15,6.38,29.51
2016-17,21600046,11/1/2016,PHI,H,0,2,240,101,1,1,18,5,2,87,99,2.23,10.83,3.89
2016-17,21600047,11/1/2016,CLE,H,3,0,240,128,2,3,10,5,2,85,114,8.6,13.55,7
2016-17,21600047,11/1/2016,HOU,A,2,1,240,120,2,3,9,5,3,84,112,4.95,32,6.4
2016-17,21600048,11/1/2016,LAL,A,1,2,,,,,,,,,,27.05,31.14,25.77
2016-17,21600048,11/1/2016,IND,H,1,2,,,,,,,,,,4.09,23.85,27.84
2016-17,21600049,11/1/2016,MIA,H,1,2,,,,,,,,,,19.76,22.02,7.24
2016-17,21600049,11/1/2016,SAC,A,2,2,,,,,,,,,,2.26,9.87,13.68
2016-17,21600050,11/1/2016,NYK,A,1,1,,,,,,,,,,7.61,10.03,10.84
2016-17,21600050,11/1/2016,DET,H,2,1,,,,,,,,,,2.42,4.56,5.81
2016-17,21600051,11/1/2016,NOP,H,0,3,240,113,2,4,9,5,1,86,110,2.14,4.06,4.9
2016-17,21600051,11/1/2016,MIL,A,1,2,240,117,3,6,12,4,0,84,112,1.92,4.26,5.48
